date,Negative factual tweets,Negative personal tweets,Positive factual tweets,Positive personal tweets,Neutral factual tweets,Neutral personal tweets,Total amount of tweets
2020-08-10,15,10,70,53,136,14,298
2020-08-11,24,4,69,49,92,7,245
2020-08-12,6,7,30,43,47,0,133
2020-08-13,6,5,37,43,62,2,155
2020-08-14,17,21,46,45,120,6,255
2020-08-15,53,15,105,75,272,5,525
2020-08-16,10,10,59,43,95,4,221
2020-08-17,20,14,77,77,149,4,341
2020-08-18,24,3,58,87,111,8,291
2020-08-19,45,2,68,53,79,5,252
2020-08-20,16,2,41,47,73,6,185
2020-08-21,10,7,68,48,43,3,179
2020-08-22,9,2,39,33,37,1,121
2020-08-23,5,4,37,36,37,10,129
2020-08-24,6,2,54,48,46,2,158
2020-08-25,9,4,35,41,49,1,139
2020-08-26,4,2,40,24,53,2,125
2020-08-27,10,3,37,35,45,2,132
2020-08-28,12,3,48,40,47,1,151
2020-08-29,8,4,32,32,40,1,117
2020-08-30,6,4,36,54,47,1,148
2020-08-31,22,7,170,79,580,4,862
2020-09-01,11,5,63,61,83,2,225
2020-09-02,10,4,57,43,82,3,199
2020-09-03,9,6,49,40,51,1,156
2020-09-04,8,14,43,31,51,3,150
2020-09-05,7,39,33,54,74,10,217
2020-09-06,5,6,23,21,43,2,100
2020-09-07,7,6,34,38,46,2,133
2020-09-08,9,7,65,43,95,4,223
2020-09-09,13,15,112,48,136,6,330
2020-09-10,14,10,64,55,69,2,214
2020-09-11,16,8,41,37,57,4,163
2020-09-12,14,1,30,38,31,0,114
2020-09-13,8,6,33,21,43,1,112
2020-09-14,5,2,30,26,37,2,102
2020-09-15,12,6,44,33,44,0,139
2020-09-16,9,7,53,100,51,5,225
2020-09-17,7,7,65,65,39,1,184
2020-09-18,6,3,34,25,43,6,117
2020-09-19,5,0,45,24,22,2,98
2020-09-20,7,2,22,19,18,2,70
2020-09-21,13,15,55,17,32,2,134
2020-09-22,18,11,34,26,50,0,139
2020-09-23,3,5,41,44,50,1,144
2020-09-24,4,3,43,43,91,0,184
2020-09-25,7,5,45,37,66,3,163
2020-09-26,8,2,30,22,37,1,100
2020-09-27,6,3,20,19,27,1,76
2020-09-28,9,5,23,33,67,0,137
2020-09-29,23,12,49,46,53,0,183
2020-09-30,18,13,30,41,53,2,157
